EfficientNet-B4 Model Parameter Summary
Input resolution: 380x380, Classes: 8, Meta features: 15
Generated by model_summary.py

==============================================================================================================
  Variant 1 — Transfer learning, no MetaBlock, 8 classes
==============================================================================================================
Layer                                                        Output Shape                  Params  Trainable
model.features.5.5.block.1.2                                 (1, 960, 24, 24)                   0          0
model.features.5.5.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.5.5.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.5.5.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.5.5.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.5.5.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.5.5.block.3.0                                 (1, 160, 24, 24)             153,600    153,600
model.features.5.5.block.3.1                                 (1, 160, 24, 24)                 320        320
model.features.5.5.stochastic_depth                          (1, 160, 24, 24)                   0          0
model.features.6.0.block.0.0                                 (1, 960, 24, 24)             153,600    153,600
model.features.6.0.block.0.1                                 (1, 960, 24, 24)               1,920      1,920
model.features.6.0.block.0.2                                 (1, 960, 24, 24)                   0          0
model.features.6.0.block.1.0                                 (1, 960, 12, 12)              24,000     24,000
model.features.6.0.block.1.1                                 (1, 960, 12, 12)               1,920      1,920
model.features.6.0.block.1.2                                 (1, 960, 12, 12)                   0          0
model.features.6.0.block.2.avgpool                           (1, 960, 1, 1)                     0          0
model.features.6.0.block.2.fc1                               (1, 40, 1, 1)                 38,440     38,440
model.features.6.0.block.2.activation                        (1, 40, 1, 1)                      0          0
model.features.6.0.block.2.fc2                               (1, 960, 1, 1)                39,360     39,360
model.features.6.0.block.2.scale_activation                  (1, 960, 1, 1)                     0          0
model.features.6.0.block.3.0                                 (1, 272, 12, 12)             261,120    261,120
model.features.6.0.block.3.1                                 (1, 272, 12, 12)                 544        544
model.features.6.1.block.0.0                                 (1, 1632, 12, 12)            443,904    443,904
model.features.6.1.block.0.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.1.block.0.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.1.block.1.0                                 (1, 1632, 12, 12)             40,800     40,800
model.features.6.1.block.1.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.1.block.1.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.1.block.2.avgpool                           (1, 1632, 1, 1)                    0          0
model.features.6.1.block.2.fc1                               (1, 68, 1, 1)                111,044    111,044
model.features.6.1.block.2.activation                        (1, 68, 1, 1)                      0          0
model.features.6.1.block.2.fc2                               (1, 1632, 1, 1)              112,608    112,608
model.features.6.1.block.2.scale_activation                  (1, 1632, 1, 1)                    0          0
model.features.6.1.block.3.0                                 (1, 272, 12, 12)             443,904    443,904
model.features.6.1.block.3.1                                 (1, 272, 12, 12)                 544        544
model.features.6.1.stochastic_depth                          (1, 272, 12, 12)                   0          0
model.features.6.2.block.0.0                                 (1, 1632, 12, 12)            443,904    443,904
model.features.6.2.block.0.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.2.block.0.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.2.block.1.0                                 (1, 1632, 12, 12)             40,800     40,800
model.features.6.2.block.1.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.2.block.1.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.2.block.2.avgpool                           (1, 1632, 1, 1)                    0          0
model.features.6.2.block.2.fc1                               (1, 68, 1, 1)                111,044    111,044
model.features.6.2.block.2.activation                        (1, 68, 1, 1)                      0          0
model.features.6.2.block.2.fc2                               (1, 1632, 1, 1)              112,608    112,608
model.features.6.2.block.2.scale_activation                  (1, 1632, 1, 1)                    0          0
model.features.6.2.block.3.0                                 (1, 272, 12, 12)             443,904    443,904
model.features.6.2.block.3.1                                 (1, 272, 12, 12)                 544        544
model.features.6.2.stochastic_depth                          (1, 272, 12, 12)                   0          0
model.features.6.3.block.0.0                                 (1, 1632, 12, 12)            443,904    443,904
model.features.6.3.block.0.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.3.block.0.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.3.block.1.0                                 (1, 1632, 12, 12)             40,800     40,800
model.features.6.3.block.1.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.3.block.1.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.3.block.2.avgpool                           (1, 1632, 1, 1)                    0          0
model.features.6.3.block.2.fc1                               (1, 68, 1, 1)                111,044    111,044
model.features.6.3.block.2.activation                        (1, 68, 1, 1)                      0          0
model.features.6.3.block.2.fc2                               (1, 1632, 1, 1)              112,608    112,608
model.features.6.3.block.2.scale_activation                  (1, 1632, 1, 1)                    0          0
model.features.6.3.block.3.0                                 (1, 272, 12, 12)             443,904    443,904
model.features.6.3.block.3.1                                 (1, 272, 12, 12)                 544        544
model.features.6.3.stochastic_depth                          (1, 272, 12, 12)                   0          0
model.features.6.4.block.0.0                                 (1, 1632, 12, 12)            443,904    443,904
model.features.6.4.block.0.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.4.block.0.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.4.block.1.0                                 (1, 1632, 12, 12)             40,800     40,800
model.features.6.4.block.1.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.4.block.1.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.4.block.2.avgpool                           (1, 1632, 1, 1)                    0          0
model.features.6.4.block.2.fc1                               (1, 68, 1, 1)                111,044    111,044
model.features.6.4.block.2.activation                        (1, 68, 1, 1)                      0          0
model.features.6.4.block.2.fc2                               (1, 1632, 1, 1)              112,608    112,608
model.features.6.4.block.2.scale_activation                  (1, 1632, 1, 1)                    0          0
model.features.6.4.block.3.0                                 (1, 272, 12, 12)             443,904    443,904
model.features.6.4.block.3.1                                 (1, 272, 12, 12)                 544        544
model.features.6.4.stochastic_depth                          (1, 272, 12, 12)                   0          0
model.features.6.5.block.0.0                                 (1, 1632, 12, 12)            443,904    443,904
model.features.6.5.block.0.1                                 (1, 1632, 12, 12)              3,264      3,264
model.features.6.5.block.0.2                                 (1, 1632, 12, 12)                  0          0
model.features.6.5.block.1.0                                 (1, 1632, 12, 12)             40,800     40,800
model.features.6.5.block.1.1                                 (1, 1632, 12, 12)              3,264      3,264
